id,availability,condition,title,color,description,image_link,link,price,sale_price,brand,google_product_category,InventoryStatus,IsHot,sellstart,schedule
MT1M22213CL50288,in stock,new,REEBOK COURT SPORT TEE,白,尺寸標示說明：S=A/XS、M=A/S、L=A/MREEBOK正品/REEBOK CLASSIC系列/中性款式/正面LOGO小標，背面圖案印花造型,https://pic.pzcdn.tw/pazzo/ProductBasic/2933302b-8a20-4ad0-92aa-6b4392c44ff3.jpg,https://www.pazzo.com.tw/market/n/22213?c=50288,1180.00 TWD,1180.00 TWD,PAZZO,1604,Y,N,2024-05-13,20240513
MT1M22231CL50329,in stock,new,糖果色串珠鎖骨項鍊,藕粉,韓國直送/鍊長可調節,https://pic.pzcdn.tw/pazzo/ProductBasic/38b0f740-c194-47c2-a480-8e58a7d5b229.jpg,https://www.pazzo.com.tw/market/n/22231?c=50329,390.00 TWD,390.00 TWD,PAZZO,1604,N,N,2024-06-08,20240708
MT1M20400CL45794,in stock,new,MIT 極柔美膚發熱細肩帶平口BRA TOP,牛奶白,"MIT台灣製造/ 含蠶絲蛋白美膚機能 /發熱吸濕排汗/ 一片式上薄下厚胸墊,胸墊可拆/ 彈性細肩帶,肩帶不可調/ 穿著舒適無負擔",https://pic.pzcdn.tw/pazzo/ProductBasic/39350ad7-2bc5-4ee2-a4b1-bfe6a0a91420.jpg,https://www.pazzo.com.tw/market/n/20400?c=45794,490.00 TWD,399.00 TWD,PAZZO,1604,Y,N,2022-12-10,20221031
MT1M22029CL49779,in stock,new,輕柔透膚霧面光澤澎澎袖上衣(千千聯名款),裸粉杏,圓領包邊造型/後開水滴洞/澎澎袖設計,https://pic.pzcdn.tw/pazzo/ProductBasic/3fd2b204-e80b-44b2-95ff-282454b6f73e.jpg,https://www.pazzo.com.tw/market/n/22029?c=49779,690.00 TWD,690.00 TWD,PAZZO,1604,N,N,2024-04-01,20240401
MT1M21745CL49033,in stock,new,保暖高領鋪棉背心外套,米白,鋪棉填充/壓釦高領造型/兩側有口袋/下擺彈性繩可縮口,https://pic.pzcdn.tw/pazzo/ProductBasic/42f1ae10-c301-4948-a040-33132c60a35a.jpg,https://www.pazzo.com.tw/market/n/21745?c=49033,1190.00 TWD,1090.00 TWD,PAZZO,1604,N,N,2023-12-25,20231225
MT1M20757CL46695,in stock,new,NEW BALANCE 550復古運動鞋,粉白,NEW BALANCE 正品/NEW BLANCE_550系列,https://pic.pzcdn.tw/pazzo/ProductBasic/4512df03-cbee-4a47-94bf-ba9e2843848d.jpg,https://www.pazzo.com.tw/market/n/20757?c=46695,3280.00 TWD,2952.00 TWD,PAZZO,1604,N,N,2023-07-01,20230220
MT1M21995CL49685,in stock,new,細肩帶造型圓領針織背心,黑,柔軟針織面料/不可調細肩帶/下襬微捲邊造型,https://pic.pzcdn.tw/pazzo/ProductBasic/3becb836-3ceb-4bfd-a93a-a746897b0549.jpg,https://www.pazzo.com.tw/market/n/21995?c=49685,590.00 TWD,590.00 TWD,PAZZO,1604,N,N,2024-03-25,20240325
MT1M21295CL47907,in stock,new,捲邊洞洞感微削肩粗針織洋裝,深灰,邊緣捲捲邊造型/洞洞粗針織面料/後開岔造型,https://pic.pzcdn.tw/pazzo/ProductBasic/480794cf-08ad-4ed3-8486-29e4c4b1c185.jpg,https://www.pazzo.com.tw/market/n/21295?c=47907,990.00 TWD,890.00 TWD,PAZZO,1604,N,N,2023-10-30,20231030
MT1M22265CL50396,in stock,new,質感珍珠造型扁型戒指,銀,韓國直送/ 戒圍不可調/不可拆,https://pic.pzcdn.tw/pazzo/ProductBasic/4b0e012d-c5b7-40f2-8daf-031b61c76957.jpg,https://www.pazzo.com.tw/market/n/22265?c=50396,490.00 TWD,299.00 TWD,PAZZO,1604,N,N,2024-08-12,20240812
MT1M21876CL49345,in stock,new,MIT 露肩拼接造型上衣,黑,台灣製造/PAZZO自訂開發布料/彈性舒適棉質面料/假兩件拼接設計/露肩造型,https://pic.pzcdn.tw/pazzo/ProductBasic/41bdc6f4-51d6-4c9b-8597-8a289a7f607f.jpg,https://www.pazzo.com.tw/market/n/21876?c=49345,590.00 TWD,590.00 TWD,PAZZO,1604,N,N,2024-02-01,20240115
